index,word,fixation_order,samples_duration_in_fixations,total_fixations,total_duration_samples_in_fixation,count_letters,count_fixation_normalized
245,"relieves,",[],{},0,0,9,0.0
246,and,[],{},0,0,3,0.0
247,thus,[],{},0,0,4,0.0
248,the,[],{},0,0,3,0.0
249,longer,[],{},0,0,6,0.0
250,it,[],{},0,0,2,0.0
251,takes,[],{},0,0,5,0.0
252,for,[],{},0,0,3,0.0
253,the,[],{},0,0,3,0.0
254,same,[],{},0,0,4,0.0
255,size,[],{},0,0,4,0.0
256,quake,[],{},0,0,5,0.0
257,to,[],{},0,0,2,0.0
258,happen,[],{},0,0,6,0.0
259,again.,[],{},0,0,6,0.0
260,Scholz,"[32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94, 96]","{32: 1, 34: 1, 36: 1, 38: 1, 40: 1, 42: 1, 44: 1, 46: 1, 48: 1, 50: 1, 52: 1, 54: 1, 56: 1, 58: 1, 60: 1, 62: 1, 64: 1, 66: 1, 68: 1, 70: 1, 72: 1, 74: 1, 76: 1, 78: 1, 80: 1, 82: 1, 84: 1, 86: 1, 88: 1, 90: 1, 92: 1, 94: 1, 96: 89}",33,121,6,20.166666666666668
261,pointed,[97],{97: 115},1,115,7,16.428571428571427
262,to,"[98, 100, 102, 104, 106, 108, 110, 112, 114, 116, 118, 120, 122, 124, 126, 128, 130, 132, 134, 136, 138, 140, 142, 144, 146, 148, 150, 152, 154, 156, 158, 160, 162, 164, 166, 168, 170, 172, 174, 176, 178, 180, 182, 184, 186, 188, 190, 192]","{98: 1, 100: 1, 102: 1, 104: 1, 106: 1, 108: 1, 110: 1, 112: 1, 114: 1, 116: 1, 118: 1, 120: 1, 122: 1, 124: 1, 126: 1, 128: 1, 130: 1, 132: 1, 134: 1, 136: 1, 138: 1, 140: 1, 142: 1, 144: 1, 146: 1, 148: 1, 150: 1, 152: 1, 154: 1, 156: 1, 158: 1, 160: 1, 162: 1, 164: 1, 166: 1, 168: 1, 170: 1, 172: 1, 174: 1, 176: 1, 178: 1, 180: 1, 182: 1, 184: 1, 186: 1, 188: 1, 190: 1, 192: 1}",48,48,2,24.0
263,evidence,"[194, 196, 198, 200, 202, 204, 206, 208, 210, 212, 214, 216, 218, 220, 222, 224, 226, 228]","{194: 1, 196: 1, 198: 1, 200: 1, 202: 1, 204: 1, 206: 1, 208: 1, 210: 1, 212: 1, 214: 1, 216: 1, 218: 1, 220: 1, 222: 1, 224: 1, 226: 1, 228: 1}",18,18,8,2.25
264,that,[],{},0,0,4,0.0
265,the,[],{},0,0,3,0.0
266,1906,[],{},0,0,4,0.0
267,quake,[],{},0,0,5,0.0
268,didn't,[],{},0,0,6,0.0
269,relieve,[],{},0,0,7,0.0
270,as,[],{},0,0,2,0.0
271,much,[],{},0,0,4,0.0
272,stress,[],{},0,0,6,0.0
273,in,[],{},0,0,2,0.0
274,the,[],{},0,0,3,0.0
275,Santa,[],{},0,0,5,0.0
276,Cruz,[],{},0,0,4,0.0
277,Mountains,[],{},0,0,9,0.0
278,as,[],{},0,0,2,0.0
279,other,[],{},0,0,5,0.0
280,scientists,[],{},0,0,10,0.0
281,believed.,[],{},0,0,9,0.0
282,That,[],{},0,0,4,0.0
283,suggested,[],{},0,0,9,0.0
284,a,[],{},0,0,1,0.0
285,bigger,[],{},0,0,6,0.0
